SYMBOL,NAME, Open Position Before Release ,, Current Day Release ,, Current Day Take-up ,, Markup Weighted  Average , Net Open Position ,,
,, Volume , Value , Volume , Value , Volume , Value ,, Volume , Value , % 
HUMNL,HUM NETWORK LIMITED," 293,000 "," 2,567,539 ", -   , -   ," 26,500 "," 218,625 ", 15 ," 319,500 "," 2,786,164 ", 0 
IBLHL,IBL HEALTHCARE LIMITED," 1,300 "," 113,460 ", -   , -   , 400 ," 35,616 ", 15 ," 1,700 "," 149,076 ", 0 
ICI,ICI PAKISTAN LIMITED," 7,100 "," 2,519,231 ", -   , -   , -   , -   , -   ," 7,100 "," 2,519,231 ", 0 
IGIIL,IGI INSURANCE LIMITED," 10,400 "," 1,813,455 ", -   , -   , -   , -   , -   ," 10,400 "," 1,813,455 ", 0 
INDU,INDUS MOTOR COMPANY LIMITED," 7,520 "," 5,923,089 ", -   , -   , -   , -   , -   ," 7,520 "," 5,923,089 ", 1 
INIL,INTERNATIONAL INDUSTRIES LIMITED," 10,500 "," 547,496 ", -   , -   , -   , -   , -   ," 10,500 "," 547,496 ", 0 
ISL,INTERNATIONAL STEELS LIMITED," 30,500 "," 605,198 ", -   , -   , -   , -   , -   ," 30,500 "," 605,198 ", 0 
JOPP,JOHNSON & PHILLIPS (PAKISTAN) LIMITED," 1,500 "," 19,334 ", -   , -   , -   , -   , -   ," 1,500 "," 19,334 ", -   
JPGL,JAPAN POWER GENERATION LIMITED," 15,000 "," 26,025 "," 10,000 "," 17,500 ", -   , -   , -   ," 5,000 "," 8,525 ", -   
JSBL,JS BANK LIMITED," 1,500,000 "," 7,410,000 ", -   , -   , -   , -   , -   ," 1,500,000 "," 7,410,000 ", 1 
JSCL,JAHANGIR SIDDIQUI AND CO. LTD," 884,500 "," 14,384,605 "," 38,000 "," 590,408 "," 25,500 "," 367,774 ", 15 ," 872,000 "," 14,161,971 ", 1 
JSIL,JS INVESTMENTS LIMITED," 15,000 "," 190,838 ", -   , -   , -   , -   , -   ," 15,000 "," 190,838 ", 0 
JVDC,JAVEDAN CORPORATION LIMITED," 58,000 "," 1,514,271 ", -   , -   , -   , -   , -   ," 58,000 "," 1,514,271 ", 0 
KEL,K-ELECTRIC LIMITED," 3,811,000 "," 21,817,511 "," 215,500 "," 1,272,038 "," 15,000 "," 77,400 ", 15 ," 3,610,500 "," 20,622,874 ", 2 
KML,KOHINOOR MILLS LIMITED," 33,000 "," 382,340 ", -   , -   , -   , -   , -   ," 33,000 "," 382,340 ", 0 
KOHC,KOHAT CEMENT COMPANY LIMITED," 102,500 "," 11,138,606 ", -   , -   , -   , -   , -   ," 102,500 "," 11,138,606 ", 1 
KTML,KOHINOOR TEXTILE MILLS LIMITED," 956,500 "," 49,041,023 ", -   , -   , -   , -   , -   ," 956,500 "," 49,041,023 ", 5 
LOTCHEM,LOTTE CHEMICAL PAKISTAN LIMITED," 583,000 "," 3,234,408 ", -   , -   , -   , -   , -   ," 583,000 "," 3,234,408 ", 0 
LPL,LALPIR POWER LIMITED," 23,000 "," 541,935 ", -   , -   , -   , -   , -   ," 23,000 "," 541,935 ", 0 
LUCK,LUCKY CEMENT LIMITED," 6,300 "," 2,443,883 ", 100 ," 37,050 ", -   , -   , -   ," 6,200 "," 2,406,833 ", 0 
MARI,MARI PETROLEUM COMPANY LIMITED," 43,750 "," 21,907,340 "," 2,600 "," 1,286,294 "," 1,650 "," 795,713 ", 15 ," 42,800 "," 21,416,758 ", 2 
MCB,MCB BANK LIMITED," 46,800 "," 7,647,118 "," 1,600 "," 232,991 ", -   , -   , -   ," 45,200 "," 7,414,127 ", 1 
MEBL,MEEZAN BANK LIMITED," 55,000 "," 1,991,160 ", -   , -   , -   , -   , -   ," 55,000 "," 1,991,160 ", 0 
MERIT,MERIT PACKAGING LIMITED," 36,000 "," 446,743 ", -   , -   , -   , -   , -   ," 36,000 "," 446,743 ", 0 
MLCF,MAPLE LEAF CEMENT FACTORY LIMITED," 322,000 "," 19,502,651 ", -   , -   ," 13,000 "," 786,825 ", 15 ," 335,000 "," 20,289,476 ", 2 
MTL,MILLAT TRACTORS LIMITED," 1,700 "," 639,210 ", -   , -   , -   , -   , -   ," 1,700 "," 639,210 ", 0 
MUGHAL,MUGHAL IRON & STEEL INDUSTRIES LIMITED," 128,000 "," 7,129,585 ", -   , -   , -   , -   , -   ," 128,000 "," 7,129,585 ", 1 
MUREB,MURREE BREWERY COMPANY LIMITED, 200 ," 140,220 ", -   , -   , 40 ," 22,737 ", 15 , 240 ," 162,957 ", 0 
NBP,NATIONAL BANK OF PAKISTAN," 196,000 "," 7,957,710 "," 28,000 "," 1,129,811 "," 39,000 "," 1,602,900 ", 15 ," 207,000 "," 8,430,799 ", 1 
NCL,NISHAT (CHUNIAN) LIMITED," 61,000 "," 1,847,589 ", -   , -   , -   , -   , -   ," 61,000 "," 1,847,589 ", 0 
NETSOL,NETSOL TECHNOLOGIES LIMITED," 55,000 "," 2,373,638 "," 2,000 "," 95,123 ", -   , -   , -   ," 53,000 "," 2,278,515 ", 0 
NIB,NIB BANK LIMITED," 33,500 "," 46,722 ", -   , -   ," 3,500 "," 4,804 ", 14 ," 37,000 "," 51,526 ", -   
NICL,NIMIR INDUSTRIAL CHEMICALS LIMITED," 10,000 "," 136,688 ", -   , -   , -   , -   , -   ," 10,000 "," 136,688 ", 0 
NML,NISHAT MILLS LIMITED," 36,500 "," 2,930,955 ", -   , -   , -   , -   , -   ," 36,500 "," 2,930,955 ", 0 
NRL,NATIONAL REFINERY LIMITED," 1,400 "," 319,910 ", -   , -   , -   , -   , -   ," 1,400 "," 319,910 ", 0 
OGDC,OIL & GAS DEVELOPMENT COMPANY LIMITED," 163,300 "," 13,654,592 "," 19,200 "," 1,490,339 "," 50,100 "," 3,670,273 ", 15 ," 194,200 "," 15,834,525 ", 1 
PACE,PACE (PAKISTAN) LIMITED," 1,020,000 "," 5,065,502 ", -   , -   ," 55,000 "," 253,605 ", 15 ," 1,075,000 "," 5,319,107 ", 1 
PAEL,PAK ELEKTRON LIMITED," 917,000 "," 44,856,303 "," 18,500 "," 842,711 "," 54,500 "," 2,374,429 ", 15 ," 953,000 "," 46,388,020 ", 4 
PAKCEM,PAKCEM LIMITED," 405,500 "," 5,591,700 ", -   , -   , -   , -   , -   ," 405,500 "," 5,591,700 ", 1 
PAKRI,PAKISTAN REINSURANCE COMPANY LIMITED," 5,500 "," 155,048 ", -   , -   , -   , -   , -   ," 5,500 "," 155,048 ", 0 
PGF,PICIC GROWTH FUND," 166,500 "," 2,583,350 ", -   , -   , -   , -   , -   ," 166,500 "," 2,583,350 ", 0 
PIAA,PAKISTAN INTL AIRLINES CORP. - (A)," 246,500 "," 1,402,340 "," 10,500 "," 66,975 ", -   , -   , -   ," 236,000 "," 1,335,365 ", 0 
PIBTL,PAKISTAN INTERNATIONAL BULK TERMINAL LTD," 1,038,500 "," 22,302,346 "," 18,500 "," 381,491 ", 500 ," 9,844 ", 15 ," 1,020,500 "," 21,930,698 ", 2 
PIOC,PIONEER CEMENT LIMITED," 32,500 "," 2,162,408 ", -   , -   , 500 ," 32,063 ", 15 ," 33,000 "," 2,194,470 ", 0 
PKGP,PAKGEN POWER LIMITED," 445,000 "," 9,844,563 ", -   , -   , -   , -   , -   ," 445,000 "," 9,844,563 ", 1 
PKGS,PACKAGES LIMITED," 4,400 "," 1,976,324 ", 100 ," 38,625 ", -   , -   , -   ," 4,300 "," 1,937,699 ", 0 
PNSC,PAKISTAN NATIONAL SHIPPING CORPORATION," 24,400 "," 1,497,654 ", -   , -   , -   , -   , -   ," 24,400 "," 1,497,654 ", 0 
